date,iso_code,tot_case,tot_case_new,tot_case_new_mean,tot_deaths,tot_deaths_new,tot_deaths_new_mean,recoveries,recoveries_new,recoveries_new_mean,total_cases_per_million,total_deaths_per_million,total_tests,new_tests,total_tests_per_thousand
20200122,AFG,0,,,0,,,0,,,0,0,,,
20200123,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200124,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200125,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200126,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200127,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200128,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200129,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200130,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200131,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200201,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200202,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200203,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200204,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200205,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200206,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200207,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200208,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200209,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200210,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200211,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200212,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200213,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200214,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200215,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200216,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200217,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200218,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200219,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200220,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200221,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200222,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200223,AFG,0,0,0,0,0,0,0,0,0,0,0,,,
20200224,AFG,1,1,0.14285714,0,0,0,0,0,0,0,0,,,
20200225,AFG,1,0,0.14285714,0,0,0,0,0,0,0.026,0,,,
20200226,AFG,1,0,0.14285714,0,0,0,0,0,0,0.026,0,,,
20200227,AFG,1,0,0.14285714,0,0,0,0,0,0,0.026,0,,,
20200228,AFG,1,0,0.14285714,0,0,0,0,0,0,0.026,0,,,
20200229,AFG,1,0,0.14285714,0,0,0,0,0,0,0.026,0,,,
20200301,AFG,1,0,0.14285714,0,0,0,0,0,0,0.026,0,,,
20200302,AFG,1,0,0,0,0,0,0,0,0,0.026,0,,,
20200303,AFG,1,0,0,0,0,0,0,0,0,,,,,
20200304,AFG,1,0,0,0,0,0,0,0,0,,,,,
20200305,AFG,1,0,0,0,0,0,0,0,0,,,,,
20200306,AFG,1,0,0,0,0,0,0,0,0,,,,,
20200307,AFG,1,0,0,0,0,0,0,0,0,,,,,
20200308,AFG,4,3,0.42857143,0,0,0,0,0,0,0.103,0,,,
20200309,AFG,4,0,0.42857143,0,0,0,0,0,0,,,,,
20200310,AFG,5,1,0.57142857,0,0,0,0,0,0,,,,,
20200311,AFG,7,2,0.85714286,0,0,0,0,0,0,0.18,0,,,
20200312,AFG,7,0,0.85714286,0,0,0,0,0,0,,,,,
20200313,AFG,7,0,0.85714286,0,0,0,0,0,0,,,,,
20200314,AFG,11,4,1.4285714,0,0,0,0,0,0,,,,,
20200315,AFG,16,5,1.7142857,0,0,0,0,0,0,0.257,0,,,
20200316,AFG,21,5,2.4285714,0,0,0,1,1,0.14285714,0.411,0,,,
20200317,AFG,22,1,2.4285714,0,0,0,1,0,0.14285714,0.539,0,,,
20200318,AFG,22,0,2.1428571,0,0,0,1,0,0.14285714,0.565,0,,,
20200319,AFG,22,0,2.1428571,0,0,0,1,0,0.14285714,0.565,0,,,
20200320,AFG,24,2,2.4285714,0,0,0,1,0,0.14285714,0.565,0,,,
20200321,AFG,24,0,1.8571429,0,0,0,1,0,0.14285714,0.617,0,,,
20200322,AFG,40,16,3.4285714,1,1,0.14285714,1,0,0.14285714,0.617,0,,,
20200323,AFG,40,0,2.7142857,1,0,0.14285714,1,0,0,0.873,0,,,
20200324,AFG,74,34,7.4285714,1,0,0.14285714,1,0,0,1.028,0.026,,,
20200325,AFG,84,10,8.8571429,2,1,0.28571429,2,1,0.14285714,1.079,0.026,,,
20200326,AFG,94,10,10.285714,4,2,0.57142857,2,0,0.14285714,1.927,0.026,,,
20200327,AFG,110,16,12.285714,4,0,0.57142857,2,0,0.14285714,1.927,0.026,,,
20200328,AFG,110,0,12.285714,4,0,0.57142857,2,0,0.14285714,2.338,0.051,,,
20200329,AFG,120,10,11.428571,4,0,0.42857143,2,0,0.14285714,2.723,0.077,,,
20200330,AFG,170,50,18.571429,4,0,0.42857143,2,0,0.14285714,2.928,0.103,,,
20200331,AFG,174,4,14.285714,4,0,0.42857143,5,3,0.57142857,3.622,0.103,,,
20200401,AFG,237,63,21.857143,4,0,0.28571429,5,0,0.42857143,4.264,0.103,,,
20200402,AFG,273,36,25.571429,6,2,0.28571429,10,5,1.1428571,4.932,0.103,,,
20200403,AFG,281,8,24.428571,6,0,0.28571429,10,0,1.1428571,6.037,0.103,,,
20200404,AFG,299,18,27,7,1,0.42857143,10,0,1.1428571,6.037,0.103,,,
20200405,AFG,349,50,32.714286,7,0,0.42857143,15,5,1.8571429,6.936,0.128,,,
20200406,AFG,367,18,28.142857,11,4,1,18,3,2.2857143,7.681,0.18,,,
20200407,AFG,423,56,35.571429,14,3,1.4285714,18,0,1.8571429,8.657,0.18,,,
20200408,AFG,444,21,29.571429,14,0,1.4285714,29,11,3.4285714,9.428,0.283,,,
20200409,AFG,484,40,30.142857,15,1,1.2857143,32,3,3.1428571,10.866,0.36,,,
20200410,AFG,521,37,34.285714,15,0,1.2857143,32,0,3.1428571,12.433,0.385,,,
20200411,AFG,555,34,36.571429,18,3,1.5714286,32,0,3.1428571,13.384,0.385,,,
20200412,AFG,607,52,36.857143,18,0,1.5714286,32,0,2.4285714,14.257,0.462,,,
20200413,AFG,665,58,42.571429,21,3,1.4285714,32,0,2,15.593,0.462,,,
20200414,AFG,714,49,41.571429,23,2,1.2857143,40,8,3.1428571,17.083,0.539,,,
20200415,AFG,784,70,48.571429,25,2,1.5714286,43,3,2,18.341,0.591,,,
20200416,AFG,840,56,50.857143,30,5,2.1428571,54,11,3.1428571,20.14,0.642,,,
20200417,AFG,906,66,55,30,0,2.1428571,99,45,9.5714286,20.396,0.745,,,
20200418,AFG,933,27,54,30,0,1.7142857,112,13,11.428571,21.707,0.771,,,
20200419,AFG,996,63,55.571429,33,3,2.1428571,131,19,14.142857,23.325,0.771,,,
20200420,AFG,1026,30,51.571429,36,3,2.1428571,135,4,14.714286,25.585,0.848,,,
20200421,AFG,1092,66,54,36,0,1.8571429,150,15,15.714286,26.485,0.899,,,
20200422,AFG,1176,84,56,40,4,2.1428571,166,16,17.571429,28.052,0.925,,,
20200423,AFG,1279,103,62.714286,42,2,1.7142857,179,13,17.857143,30.209,1.028,,,
20200424,AFG,1351,72,63.571429,43,1,1.8571429,188,9,12.714286,32.907,1.079,,,
20200425,AFG,1463,112,75.714286,47,4,2.4285714,188,0,10.857143,34.705,1.105,,,
20200426,AFG,1531,68,76.428571,50,3,2.4285714,207,19,10.857143,37.582,1.207,,,
20200427,AFG,1703,172,96.714286,57,7,3,220,13,12.142857,39.329,1.464,,,
20200428,AFG,1828,125,105.14286,58,1,3.1428571,228,8,11.142857,43.747,1.464,,,
20200429,AFG,1939,111,109,60,2,2.8571429,252,24,12.285714,46.932,1.541,,,
20200430,AFG,2171,232,127.42857,64,4,3.1428571,260,8,11.571429,50.066,1.541,,,
20200501,AFG,2335,164,140.57143,68,4,3.5714286,310,50,17.428571,55.769,1.644,,,
20200502,AFG,2469,134,143.71429,72,4,3.5714286,331,21,20.428571,59.982,1.747,,,
20200503,AFG,2704,235,167.57143,85,13,5,345,14,19.714286,63.424,1.85,,,
20200504,AFG,2894,190,170.14286,90,5,4.7142857,397,52,25.285714,69.461,2.183,,,
20200505,AFG,3224,330,199.42857,95,5,5.2857143,421,24,27.571429,74.342,2.312,,,
20200506,AFG,3392,168,207.57143,104,9,6.2857143,458,37,29.428571,82.819,2.44,,,
20200507,AFG,3563,171,198.85714,106,2,6,468,10,29.714286,87.134,2.672,,,
20200508,AFG,3778,215,206.14286,109,3,5.8571429,472,4,23.142857,91.527,2.723,,,
20200509,AFG,4033,255,223.42857,115,6,6.1428571,502,30,24.428571,97.05,2.8,,,
20200510,AFG,4402,369,242.57143,120,5,5,558,56,30.428571,103.601,2.954,,,
20200511,AFG,4687,285,256.14286,122,2,4.5714286,558,0,23,113.08,3.083,,,
20200512,AFG,4963,276,248.42857,127,5,4.5714286,610,52,27,120.401,3.134,,,
20200513,AFG,5226,263,262,132,5,4,648,38,27.142857,127.593,3.262,,,
20200514,AFG,5639,413,296.57143,136,4,4.2857143,691,43,31.857143,134.247,3.339,,,
20200515,AFG,6053,414,325,153,17,6.2857143,745,54,39,137.149,3.494,,,
20200516,AFG,6402,349,338.42857,168,15,7.5714286,745,0,34.714286,164.456,4.316,,,
20200517,AFG,6664,262,323.14286,169,1,7,778,33,31.428571,164.456,4.316,,,
20200518,AFG,7072,408,340.71429,173,4,7.2857143,801,23,34.714286,171.186,4.341,,,
20200519,AFG,7653,581,384.28571,178,5,7.2857143,850,49,34.285714,181.667,4.444,,,
20200520,AFG,8145,492,417,187,9,7.8571429,930,80,40.285714,196.592,4.573,,,
20200521,AFG,8676,531,433.85714,193,6,8.1428571,938,8,35.285714,209.231,4.804,,,
20200522,AFG,9216,540,451.85714,205,12,7.4285714,996,58,35.857143,222.871,4.958,,,
20200523,AFG,9998,782,513.71429,216,11,6.8571429,1040,44,42.142857,236.743,5.266,,,
20200524,AFG,10582,584,559.71429,218,2,7,1075,35,42.428571,256.831,5.549,,,
20200525,AFG,11173,591,585.85714,219,1,6.5714286,1097,22,42.285714,271.833,5.6,,,
20200526,AFG,11831,658,596.85714,220,1,6,1128,31,39.714286,287.015,5.626,,,
20200527,AFG,12456,625,615.85714,227,7,5.7142857,1138,10,29.714286,303.917,5.651,,,
20200528,AFG,13036,580,622.85714,235,8,6,1209,71,38.714286,319.973,5.831,,,
20200529,AFG,13659,623,634.71429,246,11,5.8571429,1259,50,37.571429,334.872,6.037,,,
20200530,AFG,14525,866,646.71429,249,3,4.7142857,1303,44,37.571429,350.875,6.319,,,
20200531,AFG,15205,680,660.42857,257,8,5.5714286,1328,25,36.142857,373.121,6.396,,,
20200601,AFG,15750,545,653.85714,265,8,6.5714286,1428,100,47.285714,390.589,6.602,,,
20200602,AFG,16509,759,668.28571,270,5,7.1428571,1450,22,46,404.59,6.807,,,
20200603,AFG,17267,758,687.28571,294,24,9.5714286,1522,72,54.857143,424.087,6.936,,,
20200604,AFG,18054,787,716.85714,300,6,9.2857143,1585,63,53.714286,443.559,7.552,,,
20200605,AFG,18969,915,758.57143,309,9,9,1762,177,71.857143,463.775,7.706,,,
20200606,AFG,19551,582,718,327,18,11.142857,1830,68,75.285714,487.28,7.938,,,
20200607,AFG,20342,791,733.85714,357,30,14.285714,1875,45,78.142857,502.23,8.4,,,
20200608,AFG,20917,575,738.14286,369,12,14.857143,2171,296,106.14286,522.55,9.171,,,
20200609,AFG,21459,542,707.14286,384,15,16.285714,2651,480,171.57143,537.321,9.479,,,
20200610,AFG,22142,683,696.42857,405,21,15.857143,3013,362,213,551.244,9.864,,,
20200611,AFG,22890,748,690.85714,426,21,18,3326,313,248.71429,568.814,10.404,,,
20200612,AFG,23546,656,653.85714,446,20,19.571429,3928,602,309.42857,588.003,10.943,,,
20200613,AFG,24102,556,650.14286,451,5,17.714286,4201,273,338.71429,604.855,11.457,,,
20200614,AFG,24766,664,632,471,20,16.285714,4725,524,407.14286,619.138,11.585,,,
20200615,AFG,25527,761,658.57143,478,7,15.571429,5164,439,427.57143,636.195,12.099,,,
20200616,AFG,26310,783,693,491,13,15.285714,5508,344,408.14286,655.743,12.279,,,
20200617,AFG,26874,564,676,504,13,14.142857,6158,650,449.28571,675.857,12.613,,,
20200618,AFG,27532,658,663.14286,546,42,17.142857,7660,1502,619.14286,690.345,12.947,,,
20200619,AFG,27878,346,618.85714,548,2,14.571429,7962,302,576.28571,707.248,14.026,,,
20200620,AFG,28424,546,617.42857,569,21,16.857143,8292,330,584.42857,716.136,14.077,,,
20200621,AFG,28833,409,581,581,12,15.714286,8764,472,577,730.162,14.617,,,
20200622,AFG,29157,324,518.57143,598,17,17.142857,8841,77,525.28571,740.669,14.925,,,
20200623,AFG,29481,324,453,618,20,18.142857,9260,419,536,748.632,15.362,,,
20200624,AFG,29640,159,395.14286,639,21,19.285714,9869,609,530.14286,757.315,15.875,,,
20200625,AFG,30175,535,377.57143,675,36,18.428571,10174,305,359.14286,763.326,16.415,,,
20200626,AFG,30451,276,367.57143,683,8,19.285714,10306,132,334.85714,775.142,17.34,,,
20200627,AFG,30616,165,313.14286,703,20,19.142857,10674,368,340.28571,782.232,17.545,,,
20200628,AFG,30967,351,304.85714,721,18,20,12604,1930,548.57143,786.471,18.059,,,
20200629,AFG,31238,271,297.28571,733,12,19.285714,13934,1330,727.57143,795.487,18.521,,,
20200630,AFG,31517,279,290.85714,746,13,18.285714,14131,197,695.85714,802.449,18.829,,,
20200701,AFG,31836,319,313.71429,774,28,19.285714,15651,1520,826,809.616,19.163,,,
20200702,AFG,32022,186,263.85714,807,33,18.857143,16041,390,838.14286,817.81,19.883,,,
20200703,AFG,32324,302,267.57143,819,12,19.428571,17331,1290,1003.5714,822.588,20.73,,,
20200704,AFG,32672,348,293.71429,826,7,17.571429,19164,1833,1212.8571,830.346,21.039,,,
20200705,AFG,32951,279,283.42857,864,38,20.428571,19366,202,966,839.286,21.218,,,
20200706,AFG,33190,239,278.85714,898,34,23.571429,20103,737,881.28571,846.453,22.195,,,
20200707,AFG,33384,194,266.71429,920,22,24.857143,20179,76,864,857.576,23.633,,,
20200708,AFG,33594,210,251.14286,936,16,23.142857,20700,521,721.28571,862.97,24.044,,,
20200709,AFG,33908,314,269.42857,957,21,21.428571,20847,147,686.57143,864.486,24.07,,,
20200710,AFG,34194,286,267.14286,971,14,21.714286,20882,35,507.28571,871.036,24.584,,,
20200711,AFG,34366,172,242,994,23,24,21135,253,281.57143,882.802,25.534,,,
20200712,AFG,34451,85,214.28571,1010,16,20.857143,21216,81,264.28571,884.985,25.945,,,
20200713,AFG,34455,4,180.71429,1012,2,16.285714,21254,38,164.42857,884.985,25.945,,,
20200714,AFG,34740,285,193.71429,1048,36,18.285714,21454,200,182.14286,885.088,25.996,,,
20200715,AFG,34994,254,200,1094,46,22.571429,22456,1002,250.85714,892.409,26.844,,,
20200716,AFG,35070,76,166,1113,19,22.285714,22824,368,282.42857,898.934,28.103,,,
20200717,AFG,35229,159,147.85714,1147,34,25.142857,23151,327,324.14286,900.886,28.642,,,
20200718,AFG,35301,72,133.57143,1164,17,24.285714,23273,122,305.42857,906.512,29.464,,,
20200719,AFG,35475,174,146.28571,1181,17,24.428571,23634,361,345.42857,906.82,29.901,,,
20200720,AFG,35526,51,153,1185,4,24.714286,23741,107,355.28571,911.29,30.338,,,
20200721,AFG,35615,89,125,1186,1,19.714286,23741,0,326.71429,914.886,30.466,,,
20200722,AFG,35727,112,104.71429,1190,4,13.714286,23924,183,209.71429,917.763,30.569,,,
20200723,AFG,35928,201,122.57143,1211,21,14,24550,626,246.57143,922.593,31.108,,,
20200724,AFG,35981,53,107.42857,1225,14,11.142857,24602,52,207.28571,922.927,31.108,,,
20200725,AFG,36036,55,105,1248,23,12,24793,191,217.14286,925.701,32.008,,,
20200726,AFG,36157,121,97.428571,1259,11,11.142857,25180,387,220.85714,928.809,32.341,,,
20200727,AFG,36263,106,105.28571,1269,10,12,25198,18,208.14286,931.532,32.598,,,
20200728,AFG,36368,105,107.57143,1270,1,12,25358,160,231,934.229,32.624,,,
20200729,AFG,36471,103,106.28571,1271,1,11.571429,25389,31,209.28571,936.875,32.65,,,
20200730,AFG,36542,71,87.714286,1271,0,8.5714286,25471,82,131.57143,936.875,32.65,,,
20200731,AFG,36675,133,99.142857,1272,1,6.7142857,25509,38,129.57143,938.699,32.65,,,
20200801,AFG,36710,35,96.285714,1283,11,5,25509,0,102.28571,943.015,32.958,,,
20200802,AFG,36710,0,79,1284,1,3.5714286,25510,1,47.142857,943.015,32.958,,,
20200803,AFG,36747,37,69.142857,1288,4,2.7142857,25669,159,67.285714,943.015,32.984,,,
20200804,AFG,36782,35,59.142857,1288,0,2.5714286,25669,0,44.428571,943.965,33.086,,,
20200805,AFG,36829,47,51.142857,1294,6,3.2857143,25742,73,50.428571,946.072,33.241,,,
20200806,AFG,36896,67,50.571429,1298,4,3.8571429,25840,98,52.714286,947.793,33.343,,,
20200807,AFG,37015,119,48.571429,1307,9,5,25903,63,56.285714,948.846,33.343,,,
20200808,AFG,37054,39,49.142857,1312,5,4.1428571,25960,57,64.428571,950.85,33.575,,,
20200809,AFG,37054,0,49.142857,1312,0,4,25960,0,64.285714,951.852,33.703,,,
20200810,AFG,37162,108,59.285714,1328,16,5.7142857,26228,268,79.857143,951.852,33.703,,,
20200811,AFG,37269,107,69.571429,1344,16,8,26415,187,106.57143,951.852,33.703,,,
20200812,AFG,37345,76,73.714286,1354,10,8.5714286,26694,279,136,957.374,34.525,,,
20200813,AFG,37424,79,75.428571,1363,9,9.2857143,26714,20,124.85714,959.327,34.782,,,
20200814,AFG,37431,7,59.428571,1363,0,8,26714,0,115.85714,961.356,35.013,,,
20200815,AFG,37551,120,71,1370,7,8.2857143,27166,452,172.28571,961.536,35.013,,,
20200816,AFG,37596,45,77.428571,1375,5,9,27166,0,172.28571,964.619,35.193,,,
20200817,AFG,37599,3,62.428571,1375,0,6.7142857,27166,0,134,965.775,35.321,,,
20200818,AFG,37599,0,47.142857,1375,0,4.4285714,27166,0,107.28571,965.852,35.321,,,
20200819,AFG,37599,0,36.285714,1375,0,3,27166,0,67.428571,965.852,35.321,,,
20200122,AGO,0,,,0,,,0,,,,,,,
20200123,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200124,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200125,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200126,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200127,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200128,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200129,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200130,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200131,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200201,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200202,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200203,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200204,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200205,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200206,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200207,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200208,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200209,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200210,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200211,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200212,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200213,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200214,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200215,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200216,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200217,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200218,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200219,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200220,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200221,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200222,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200223,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200224,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200225,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200226,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200227,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200228,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200229,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200301,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200302,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200303,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200304,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200305,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200306,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200307,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200308,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200309,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200310,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200311,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200312,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200313,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200314,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200315,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200316,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200317,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200318,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200319,AGO,0,0,0,0,0,0,0,0,0,,,,,
20200320,AGO,1,1,0.14285714,0,0,0,0,0,0,,,,,
20200321,AGO,2,1,0.28571429,0,0,0,0,0,0,,,,,
20200322,AGO,2,0,0.28571429,0,0,0,0,0,0,0.061,0,,,
20200323,AGO,3,1,0.42857143,0,0,0,0,0,0,0.061,0,,,
20200324,AGO,3,0,0.42857143,0,0,0,0,0,0,0.061,0,,,
20200325,AGO,3,0,0.42857143,0,0,0,0,0,0,0.061,0,,,
20200326,AGO,4,1,0.57142857,0,0,0,0,0,0,0.061,0,,,
20200327,AGO,4,0,0.42857143,0,0,0,0,0,0,0.091,0,,,
20200328,AGO,5,1,0.42857143,0,0,0,0,0,0,0.122,0,,,
20200329,AGO,7,2,0.71428571,2,2,0.28571429,0,0,0,0.122,0,,,
20200330,AGO,7,0,0.57142857,2,0,0.28571429,0,0,0,0.213,0.061,,,
20200331,AGO,7,0,0.57142857,2,0,0.28571429,1,1,0.14285714,0.213,0.061,,,
20200401,AGO,8,1,0.71428571,2,0,0.28571429,1,0,0.14285714,0.213,0.061,,,
20200402,AGO,8,0,0.57142857,2,0,0.28571429,1,0,0.14285714,0.243,0.061,,,
20200403,AGO,8,0,0.57142857,2,0,0.28571429,1,0,0.14285714,0.243,0.061,,,
20200404,AGO,10,2,0.71428571,2,0,0.28571429,2,1,0.28571429,0.243,0.061,,,
20200405,AGO,14,4,1,2,0,0,2,0,0.28571429,0.304,0.061,,,
20200406,AGO,16,2,1.2857143,2,0,0,2,0,0.28571429,0.426,0.061,,,
20200407,AGO,17,1,1.4285714,2,0,0,2,0,0.14285714,0.487,0.061,,,
20200408,AGO,19,2,1.5714286,2,0,0,2,0,0.14285714,0.517,0.061,,,
20200409,AGO,19,0,1.5714286,2,0,0,2,0,0.14285714,0.578,0.061,,,
20200410,AGO,19,0,1.5714286,2,0,0,2,0,0.14285714,0.578,0.061,,,
20200411,AGO,19,0,1.2857143,2,0,0,4,2,0.28571429,0.578,0.061,,,
20200412,AGO,19,0,0.71428571,2,0,0,4,0,0.28571429,0.578,0.061,,,
20200413,AGO,19,0,0.42857143,2,0,0,4,0,0.28571429,0.578,0.061,,,
20200414,AGO,19,0,0.28571429,2,0,0,5,1,0.42857143,0.578,0.061,,,
20200415,AGO,19,0,0,2,0,0,5,0,0.42857143,0.578,0.061,,,
20200416,AGO,19,0,0,2,0,0,5,0,0.42857143,0.578,0.061,,,
20200417,AGO,19,0,0,2,0,0,5,0,0.42857143,0.578,0.061,,,
20200418,AGO,24,5,0.71428571,2,0,0,6,1,0.28571429,0.578,0.061,,,
20200419,AGO,24,0,0.71428571,2,0,0,6,0,0.28571429,0.73,0.061,,,
20200420,AGO,24,0,0.71428571,2,0,0,6,0,0.28571429,0.73,0.061,,,
20200421,AGO,24,0,0.71428571,2,0,0,6,0,0.14285714,0.73,0.061,,,
20200422,AGO,25,1,0.85714286,2,0,0,6,0,0.14285714,0.73,0.061,,,
20200423,AGO,25,0,0.85714286,2,0,0,6,0,0.14285714,0.73,0.061,,,
20200424,AGO,25,0,0.85714286,2,0,0,6,0,0.14285714,0.761,0.061,,,
20200425,AGO,25,0,0.14285714,2,0,0,6,0,0,0.761,0.061,,,
20200426,AGO,26,1,0.28571429,2,0,0,6,0,0,0.761,0.061,,,
20200427,AGO,27,1,0.42857143,2,0,0,6,0,0,0.791,0.061,,,
20200428,AGO,27,0,0.42857143,2,0,0,6,0,0,0.822,0.061,,,
20200429,AGO,27,0,0.28571429,2,0,0,7,1,0.14285714,0.822,0.061,,,
20200430,AGO,27,0,0.28571429,2,0,0,7,0,0.14285714,0.822,0.061,,,
20200501,AGO,30,3,0.71428571,2,0,0,11,4,0.71428571,0.822,0.061,,,
20200502,AGO,35,5,1.4285714,2,0,0,11,0,0.71428571,0.882,0.061,,,
20200503,AGO,35,0,1.2857143,2,0,0,11,0,0.71428571,1.065,0.061,,,
20200504,AGO,35,0,1.1428571,2,0,0,11,0,0.71428571,1.065,0.061,,,
20200505,AGO,36,1,1.2857143,2,0,0,11,0,0.71428571,1.065,0.061,,,
20200506,AGO,36,0,1.2857143,2,0,0,11,0,0.57142857,1.095,0.061,,,
20200507,AGO,36,0,1.2857143,2,0,0,11,0,0.57142857,1.095,0.061,,,
20200508,AGO,43,7,1.8571429,2,0,0,11,0,0,1.095,0.061,,,
20200509,AGO,43,0,1.1428571,2,0,0,13,2,0.28571429,1.308,0.061,,,
20200510,AGO,45,2,1.4285714,2,0,0,13,0,0.28571429,1.308,0.061,,,
20200511,AGO,45,0,1.4285714,2,0,0,13,0,0.28571429,1.369,0.061,,,
20200512,AGO,45,0,1.2857143,2,0,0,13,0,0.28571429,1.369,0.061,,,
20200513,AGO,45,0,1.2857143,2,0,0,14,1,0.42857143,1.369,0.061,,,
20200514,AGO,48,3,1.7142857,2,0,0,14,0,0.42857143,1.369,0.061,,,
20200515,AGO,48,0,0.71428571,2,0,0,17,3,0.85714286,1.46,0.061,,,
20200516,AGO,48,0,0.71428571,2,0,0,17,0,0.57142857,1.46,0.061,,,
20200517,AGO,48,0,0.42857143,2,0,0,17,0,0.57142857,1.46,0.061,,,
20200518,AGO,50,2,0.71428571,3,1,0.14285714,17,0,0.57142857,1.46,0.061,,,
20200519,AGO,52,2,1,3,0,0.14285714,17,0,0.57142857,1.46,0.061,,,
20200520,AGO,52,0,1,3,0,0.14285714,17,0,0.42857143,1.521,0.061,,,
20200521,AGO,58,6,1.4285714,3,0,0.14285714,17,0,0.42857143,1.582,0.091,,,
20200522,AGO,60,2,1.7142857,3,0,0.14285714,17,0,0,1.765,0.091,,,
20200523,AGO,61,1,1.8571429,4,1,0.28571429,18,1,0.14285714,1.826,0.091,,,
